date,rainfall,max_temp,min_temp,rel_humidity,wind_speed,wind _direction
6/12/2006,2.199999999,31,22,93,0,200
6/13/2006,0,31,23,89,0,200
6/14/2006,0,33,24,90,0,320
6/15/2006,32.5,33,21,81,2,210
6/16/2006,0.2,33,22,85,0,160
6/17/2006,0,27,20,81,6,120
6/18/2006,35.69999999,32,22,87,0,250
6/19/2006,43.39999999,29,23,88,0,120
6/20/2006,0,29,23,82,0,300
6/21/2006,0,31,22,85,2,210
6/22/2006,0,29,20,81,4,150
6/23/2006,0,32,22,82,2,140
6/24/2006,0,32,23,89,2,240
6/25/2006,40.59999999,34,20,89,0,180
6/26/2006,0,34,21,87,6,120
6/27/2006,0,32,21,91,0,160
6/28/2006,0,32,22,83,8,110
6/29/2006,0,33,23,83,0,180
6/30/2006,58.69999999,33,23,83,0,200
7/1/2006,1.6,32,23,84,0,210
7/2/2006,0,28,23,85,6,160
7/3/2006,0,28,23,86,4,270
7/4/2006,0,32,23,87,2,140
7/5/2006,0,32,23,85,6,140
7/6/2006,1.4,31,23,85,2,140
7/7/2006,0,33,21,94,2,200
7/8/2006,0,32,23,88,8,230
7/9/2006,0,30,22,86,2,140
7/10/2006,0,30,23,89,4,220
7/11/2006,0,32,23,88,0,160
7/12/2006,3.3,30,23,84,0,200
7/13/2006,0,32,23,88,3,320
7/14/2006,5.1,32,22,93,0,180
7/15/2006,33.5,32,22,91,0,210
7/16/2006,0,33,23,83,0,215
7/17/2006,0.6,29,23,83,0,200
7/18/2006,0,29,23,88,5,150
7/19/2006,4.1,32,21,93,0,180
7/20/2006,0.2,32,21,83,0,200
7/21/2006,0,30,22,88,5,240
7/22/2006,0,28,23,89,0,240
7/23/2006,0,28,22,90,5,320
7/24/2006,0,27,21,81,0,240
7/25/2006,55.59999999,28,23,83,4,210
7/26/2006,0,30,22,88,3,200
7/27/2006,0,30,23,86,3,200
7/28/2006,0,29,23,87,0,230
7/29/2006,0,30,23,92,4,200
7/30/2006,0,30,22,88,2,150
7/31/2006,0,31,23,83,2,200
8/1/2006,0,32,23,82,2,190
8/2/2006,0,30,22,82,2,170
8/3/2006,1.1,28,22,82,0,180
8/4/2006,4.6,28,21,82,4,130
8/5/2006,13.3,26,22,81,2,140
8/6/2006,0,28,24,83,2,200
8/7/2006,0,30,23,87,2,200
8/8/2006,0,28,22,89,0,250
8/9/2006,0,30,21,84,6,210
8/10/2006,0,30,22,80,0,230
8/11/2006,0,29,23,82,5,200
8/12/2006,0,30,21,87,2,230
8/13/2006,0,29,21,87,2,160
8/14/2006,0,29,22,87,0,180
8/15/2006,0,31,23,85,0,210
8/16/2006,0,32,22,84,0,200
8/17/2006,0,28,22,85,0,210
8/18/2006,0,30,22,84,0,200
8/19/2006,0,29,22,78,6,210
8/20/2006,0,27,22,75,0,230
8/21/2006,0,29,22,83,5,310
8/22/2006,0,31,22,84,10,200
8/23/2006,0,31,22,83,5,150
8/24/2006,0,29,22,87,2,200
8/25/2006,0.5,28,22,91,0,140
8/26/2006,0,31,23,87,0,10
